table,column,rows,missing_count,missing_percent,missing_type,severity,note
exercises,exercise_id,350,0,0.0,No Missing,PASS,No missing values.
exercises,exercise_name,350,0,0.0,No Missing,PASS,No missing values.
exercises,aliases,350,0,0.0,No Missing,PASS,No missing values.
exercises,category,350,0,0.0,No Missing,PASS,No missing values.
exercises,body_region,350,0,0.0,No Missing,PASS,No missing values.
exercises,mechanics_type,350,0,0.0,No Missing,PASS,No missing values.
exercises,movement_pattern,350,0,0.0,No Missing,PASS,No missing values.
exercises,force_type,350,0,0.0,No Missing,PASS,No missing values.
exercises,kinetic_chain,350,0,0.0,No Missing,PASS,No missing values.
exercises,laterality,350,0,0.0,No Missing,PASS,No missing values.
exercises,equipment,350,0,0.0,No Missing,PASS,No missing values.
exercises,load_position,350,11,3.143,Acceptable Missing,PASS,Low/acceptable missing rate.
exercises,primary_muscles,350,0,0.0,No Missing,PASS,No missing values.
exercises,secondary_muscles,350,0,0.0,No Missing,PASS,No missing values.
exercises,stabilizer_muscles,350,0,0.0,No Missing,PASS,No missing values.
exercises,movement_planes,350,0,0.0,No Missing,PASS,No missing values.
exercises,joint_actions,350,0,0.0,No Missing,PASS,No missing values.
exercises,range_of_motion_type,350,19,5.429,Acceptable Missing,PASS,Low/acceptable missing rate.
exercises,resistance_profile,350,0,0.0,No Missing,PASS,No missing values.
exercises,muscle_length_bias,350,0,0.0,No Missing,PASS,No missing values.
exercises,axial_loading,350,0,0.0,No Missing,PASS,No missing values.
exercises,minimum_training_level,350,0,0.0,No Missing,PASS,No missing values.
exercises,technical_complexity_score,350,0,0.0,No Missing,PASS,No missing values.
exercises,coordination_requirement,350,0,0.0,No Missing,PASS,No missing values.
exercises,stability_requirement,350,0,0.0,No Missing,PASS,No missing values.
exercises,mobility_requirement,350,0,0.0,No Missing,PASS,No missing values.
exercises,balance_requirement,350,0,0.0,No Missing,PASS,No missing values.
exercises,systemic_fatigue_score,350,0,0.0,No Missing,PASS,No missing values.
exercises,local_fatigue_score,350,0,0.0,No Missing,PASS,No missing values.
exercises,recommended_goals,350,0,0.0,No Missing,PASS,No missing values.
exercises,relative_injury_risk,350,0,0.0,No Missing,PASS,No missing values.
exercises,joint_stress_areas,350,0,0.0,No Missing,PASS,No missing values.
exercises,contraindications,350,0,0.0,No Missing,PASS,No missing values.
exercises,exercise_setup,350,0,0.0,No Missing,PASS,No missing values.
exercises,execution_steps,350,0,0.0,No Missing,PASS,No missing values.
exercises,common_mistakes,350,0,0.0,No Missing,PASS,No missing values.
exercises,cues,350,0,0.0,No Missing,PASS,No missing values.
exercises,breathing_pattern,350,0,0.0,No Missing,PASS,No missing values.
exercises,progressions,350,0,0.0,No Missing,PASS,No missing values.
exercises,regressions,350,0,0.0,No Missing,PASS,No missing values.
exercises,alternatives,350,0,0.0,No Missing,PASS,No missing values.
exercises,met_value,350,0,0.0,No Missing,PASS,No missing values.
exercises,source_ids,350,0,0.0,No Missing,PASS,No missing values.
exercises,record_status,350,0,0.0,No Missing,PASS,No missing values.
exercises,last_reviewed_date,350,0,0.0,No Missing,PASS,No missing values.
users,user_id,500,0,0.0,No Missing,PASS,No missing values.
users,username,500,0,0.0,No Missing,PASS,No missing values.
users,gender,500,0,0.0,No Missing,PASS,No missing values.
users,age,500,0,0.0,No Missing,PASS,No missing values.
users,height_cm,500,0,0.0,No Missing,PASS,No missing values.
users,weight_kg,500,0,0.0,No Missing,PASS,No missing values.
users,body_fat_percent,500,0,0.0,No Missing,PASS,No missing values.
users,bmi,500,0,0.0,No Missing,PASS,No missing values.
users,primary_goal,500,0,0.0,No Missing,PASS,No missing values.
users,goal_filter_tags,500,0,0.0,No Missing,PASS,No missing values.
users,secondary_goal,500,0,0.0,No Missing,PASS,No missing values.
users,training_level,500,0,0.0,No Missing,PASS,No missing values.
users,training_experience_months,500,0,0.0,No Missing,PASS,No missing values.
users,training_days_per_week,500,0,0.0,No Missing,PASS,No missing values.
users,session_duration_minutes,500,0,0.0,No Missing,PASS,No missing values.
users,available_training_days,500,0,0.0,No Missing,PASS,No missing values.
users,available_equipment,500,0,0.0,No Missing,PASS,No missing values.
users,priority_muscles,500,0,0.0,No Missing,PASS,No missing values.
users,avoided_muscles,500,0,0.0,No Missing,PASS,No missing values.
users,preferred_exercise_types,500,0,0.0,No Missing,PASS,No missing values.
users,avoided_exercise_ids,500,0,0.0,No Missing,PASS,No missing values.
users,injuries_or_limitations,500,0,0.0,No Missing,PASS,No missing values.
users,medical_clearance_required,500,0,0.0,No Missing,PASS,No missing values.
users,preferred_split,500,0,0.0,No Missing,PASS,No missing values.
users,activity_level,500,0,0.0,No Missing,PASS,No missing values.
users,sleep_hours,500,0,0.0,No Missing,PASS,No missing values.
users,motivation_level,500,0,0.0,No Missing,PASS,No missing values.
users,gym_access_level,500,0,0.0,No Missing,PASS,No missing values.
users,progression_strategy,500,0,0.0,No Missing,PASS,No missing values.
users,profile_status,500,0,0.0,No Missing,PASS,No missing values.
users,created_at,500,0,0.0,No Missing,PASS,No missing values.
users,updated_at,500,0,0.0,No Missing,PASS,No missing values.
workout_plans,plan_id,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,user_id,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,username_snapshot,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,primary_goal_snapshot,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,secondary_goal_snapshot,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,training_level_snapshot,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,plan_name,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,plan_type,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,plan_start_date,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,plan_end_date,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,duration_weeks,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,days_per_week,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,split_type,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,session_duration_target_min,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,progression_strategy,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,weekly_set_target,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,session_volume_target,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,deload_strategy,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,plan_status,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,generation_source,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,generator_version,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,plan_version,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,exercise_item_count,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,rationale,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,safety_notes,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,created_at,1000,0,0.0,No Missing,PASS,No missing values.
workout_plans,updated_at,1000,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,plan_item_id,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,plan_id,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,week_number,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,day_number,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,day_name,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,day_type,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,session_name,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,exercise_role,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,priority_score,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,selection_reason,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,focus_muscles,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,exercise_order,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,exercise_id,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,exercise_name_snapshot,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,exercise_min_level_snapshot,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,exercise_goals_snapshot,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,exercise_equipment_snapshot,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,primary_muscles_snapshot,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,sets,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,rep_min,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,rep_max,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,duration_seconds,17634,17634,100.0,Expected Missing,PASS,Missing is expected for this context.
workout_plan_items,intensity_unit,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,target_intensity,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,rest_seconds,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,tempo,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,set_type,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,warmup_sets,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,is_optional,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,progression_rule,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,substitution_exercise_ids,17634,0,0.0,No Missing,PASS,No missing values.
workout_plan_items,coaching_note,17634,0,0.0,No Missing,PASS,No missing values.
workout_history_sessions,history_session_id,18380,0,0.0,No Missing,PASS,No missing values.
